metric_title,protocol_title,method_title_list
"""Length:  Fish Species""","""Captive reared and anadromous adult Snake River sockeye salmon monitoring and evaluation""","[""Scale Processing for Age v1.0"", ""Detection and Recovery of Coded Wire Tags (CWTs) in Adult Salmonids v1.0"", ""Adult Run Timing v1.0"", ""Obtaining scale samples from adult steelhead and salmon v1.0"", ""Anesthetizing fish using MS-222 v1.0"", ""Digitally recording biological data for adult trap locations v1.0"", ""Weights: adult sampling at hatchery v1.0"", ""Genetic sampling and storage using Chromatography filter paper v1.0"", ""Fin tissue sampling for genetic analysis v1.0"", ""Adult Sex Ratio v1.0"", ""Measuring Fish Length: Fork length v2.0"", ""Calculating the smolt to adult return rate (SAR) v1.0"", ""Estimating Adult Spawner Abundance v1.0""]"
"""Length:  Fish Species""","""Nez Perce Tribe Spawning Ground Survey Data Collection""","[""Biological Sample Collection From Carcasses v1.0"", ""Spawning Ground Survey GPS Use v1.0"", ""Spawning Ground Carcass Processing v1.0"", ""Gear Disinfection Procedures v1.0"", ""Spawning Ground Carcass PIT-tag Scanning v1.0"", ""Redd Count Aerial Surveys v1.0"", ""Spawning Ground Carcass Coded Wire Tag (CWT) Scanning v1.0"", ""Redd Count Ground Surveys v1.0""]"
"""Length:  Fish Species""","""Rufus Woods Lake Creel Survey""","[""Creel Survey- Roving v1.0"", ""Measuring Fish Length: Total length v1.0"", ""Fish wet weight v1.0"", ""Analysis of Roving Creel Data v1.0""]"
"""Length:  Fish Species""","""Upper Yakima Steelhead Resident/Anadromous Life History Studies (2010-030-00)""","[""Electrofishing - Backpack - Mark v1.0"", ""Electrofishing - Backpack - Recapture v1.0"", ""Fish wet weight v1.0"", ""Genetic stock mixture analysis using the software program BAYES v1.0"", ""PIT tag marking procedures v1.0"", ""Measuring Fish Length: Fork length v2.0"", ""Recruits per Spawner (RperS) Calculation v1.0"", ""Abundance Estimation of Fish Using Multiple Mark and Recapture Data v1.0"", ""Fin tissue sampling for genetic analysis v1.0"", ""Obtaining scales from juvenile steelhead and Chinook salmon v1.0"", ""Carcass Count: Mark-Recapture Analysis v1.0""]"
"""Length:  Fish Species""","""Upper Columbia River ESU Spring Chinook Salmon Stock Assessment (2010-034-00)""","[""Off Ladder Adult Trapping Procedures v1.0"", ""Adult Sampling: Fish Origin Identification v1.0"", ""PIT tag marking procedures v1.0"", ""Obtaining scale samples from adult steelhead and salmon v1.0"", ""Adult Sampling: Fish Gender Identification Via Ultrasound Imaging v1.0"", ""Measuring Fish Length: Fork length v2.0"", ""PIT tag marking procedures v2.0"", ""Scale Processing for Age v1.0""]"
"""Length:  Fish Species""","""Upper Columbia River Redband Trout Assessment in Big Sheep and Onion Creeks (1997-004-00)""","[""Fish wet weight v1.0"", ""Juvenile Emigration Timing v1.0"", ""Electrofishing - Backpack - Recapture v1.0"", ""Multiple pass removal/depletion backpack electrofishing v1.0"", ""Fish Capture-Angling v1.0"", ""Identifying Marks/Tags on Fish v1.0"", ""Obtaining interrogation data at a stationary PIT antenna array v1.0"", ""Using interrogation data from multiple stationary PIT antenna arrays to describe migratory pathways and patterns of movement v1.0"", ""Redd Morphology: Dimensions v1.0"", ""Calculating Detection Efficiency of Stationary PIT Tag Arrays in Streams v1.0"", ""Age-length key v1.0"", ""Measuring Fish Length: Fork length v2.0"", ""Fulton's Fish Condition Factor v1.0"", ""Obtaining scales from juvenile steelhead and Chinook salmon v1.0"", ""Redd Count Survey v1.0"", ""Measuring Fish Length: Total length v1.0"", ""Adult Run Timing v1.0"", ""Natural Spawner Abundance v1.0"", ""Population Estimate Analysis-Chapman Modification of Petersen Index v1.0"", ""Fish per redd v1.0"", ""Calculating the smolt to adult return rate (SAR) v1.0"", ""Electrofishing - Backpack - Mark v1.0"", ""Estimate outmigration in small streams v1.0"", ""Growth Rate for Individual Fish v1.0"", ""Scale Ageing v1.0"", ""PIT tag marking procedures v2.0"", ""Estimating Fish Abdundance and Density - Removal-Depletion v1.0"", ""Electrofishing - Fish Processing and Recovery v1.0"", ""Fish Density by Channel Unit and Species v1.0"", ""Obtaining scale samples from adult steelhead and salmon v1.0"", ""Calculating rate of downstream movement for individually identifiable tagged fish v1.0""]"
"""Length:  Fish Species""","""Spring Chinook Minijack Monitoring (2002-031-00)""","[""Measuring Fish Length: Fork length v1.0"", ""Determine sex of immature male and female smolts and male minijack salmon v1.0"", ""Use of plasma 11-ketotestosterone to determine age of maturation in Chinook salmon v1.0"", ""Calculate Chinook salmon minijack rates from plasma 11-ketotestosterone levels. v1.0"", ""Fish wet weight v1.0""]"
"""Length:  Fish Species""","""Okanogan Basin Monitoring & Evaluation Program - Juvenile Abundance - Snorkel Surveys""","[""Estimate Parr Densities From Snorkel Surveys v1.0"", ""Basic Snorkel Survey Procedures v1.0""]"
"""Length:  Fish Species""","""Protocol for Snorkel Surveys of Fish Densities""","[""Channel Unit Classification v1.0"", ""Estimating Fish Total Length Underwater v1.0"", ""Basic Snorkel Survey Procedures v1.0"", ""Determination of selected salmonid age-classes v1.0""]"
"""Length:  Fish Species""","""Annual Age-0 White Sturgeon Recruitment Indexing""","[""Growth Rate for Individual Fish v1.0"", ""PIT tag marking procedures v1.0"", ""Fish wet weight v1.0"", ""Measuring Fish Length: Fork length v2.0"", ""Diving Set Gillnet Capture of Age-0 Sturgeons v1.0"", ""Calculation of the Proportion of Positive Sets (Ep) v1.0"", ""Linear Regression of Age-0 Recruitment and Flow v1.0""]"
"""Length:  Fish Species""","""Assessing Summer/Fall Chinook Outmigrants with a Rotary Screw Trap on the Okanogan River""","[""Emigration Trapping (using rotary screw traps) v1.0"", ""Rotary Screw Trap Deployment and Operation v1.0"", ""Rotary Screw Trap Mark-Recapture Salmonid Outmigration Abundance Estimate v1.0"", ""Marking Juvenile Salmonids with Bismark Brown \""Y\"" v1.0"", ""Measuring Fish Length: Fork length v2.0"", ""Rotary Screw Trap-Efficiency Trial v1.0"", ""PIT tag marking procedures v1.0""]"
"""Length:  Fish Species""","""Hood River subbasin juvenile and smolt monitoring""","[""Lincoln-Peterson Two Sample Mark-Recapture Population Estimation for Adult Steelhead v1.0"", ""Measuring Fish Length: Fork length v2.0"", ""Collecting Scales From Adult Salmonids v1.0"", ""PIT tag marking procedures v1.0"", ""Rotary Screw Trap Deployment and Operation v1.0"", ""Fish wet weight v1.0"", ""Single Release Survival Estimation from Release of PIT-Tagged Smolt to Each Detection Point Downstream v1.0"", ""Tissue sampling of salmonids in nature for genetic analysis v1.0"", ""Fulton's Fish Condition Factor v1.0""]"
"""Length:  Fish Species""","""Interim Protocol- Deschutes Bakeoven and Buck Hollow Adult and Juvenile Steelhead Abundance and Distribution 2007-299-00""","[""Identifying Steelhead Kelts v1.0"", ""PIT tag marking procedures v1.0"", ""Hook-and-line sampling (angling) v1.0"", ""Determining Sex of Adult Steelhead v1.0"", ""Trap Efficiency Testing v1.0"", ""Calculating the smolt to adult return rate (SAR) v1.0"", ""Estimate escapement using detections of fish PIT tagged as adults v1.0"", ""Single Release Survival Estimation from Release of PIT-Tagged Smolt to Each Detection Point Downstream v1.0"", ""Scale Processing for Age v1.0"", ""Obtaining scales from juvenile steelhead and Chinook salmon v1.0"", ""Lincoln-Peterson Two Sample Mark-Recapture Population Estimation for Adult Steelhead v1.0"", ""Instream PIT tag detection array v1.0"", ""Cormack-Jolly-Seber (CJS) Model v1.0"", ""Adult Sampling: Fish Origin Identification v1.0"", ""Dorsal Score v1.0"", ""Electrofishing - Backpack - Mark v1.0"", ""Assessment of Fish Condition v1.0"", ""Recruits per Spawner (RperS) Calculation v1.0"", ""Natural Origin Spawner Abundance (NOSA) Calculation v1.0"", ""Identifying Marks/Tags on Fish v1.0"", ""Anesthetizing fish using MS-222 v1.0"", ""Dip Net Trap/Kelt Traps v1.0"", ""Electrofishing - Fish Processing and Recovery v1.0"", ""Fish wet weight v1.0"", ""Fyke Nets v1.0"", ""Tissue sampling for Parentage Based Tagging v1.0"", ""Obtaining scale samples from adult steelhead and salmon v1.0"", ""Calculating Relative Contribution v1.0"", ""Measuring Fish Length: Fork length v2.0"", ""Estimating Fyke or Rotary Screw Trap Efficiency by Using an Automated Release Device v1.0"", ""Weirs v1.0""]"
"""Length:  Fish Species""","""Quantifying juvenile salmonid use of a fish habitat restoration projects floodplain""","[""Physical Habitat: Substrate - Pebble Counts v2.0"", ""Percent Cover Woody Vegetation on Streambanks v1.0"", ""Measuring channel constraints v1.0"", ""Stream Discharge v1.0"", ""Vegetation Plantings Data Collection - Roegner et al. 2009 v1.0"", ""Fish wet weight v1.0"", ""Water Quality (temperature and salinity)  Data Analysis - Roegner et al. 2009 v1.0"", ""Stream Cross-sectional Discharge Measurement (wading) v1.0"", ""Growth Rate Calculation v1.0"", ""Floodplain random point sampling locations v1.0"", ""Method for Measuring Substrate v1.0"", ""Physical Habitat: Instream Fish Cover, Algae, and Aquatic Macrophytes v1.0"", ""PIT tag marking procedures v2.0"", ""Standard Operating Procedures for Instantaneous Measurements of Temperature in Water v1.0"", ""Fish Community  Data Analysis - Roegner et al. 2009 v1.0"", ""Emigration Trapping (using rotary screw traps) v1.0"", ""Fulton's Fish Condition Factor v1.0"", ""Measuring Wetted Width (Abridged Version From Characterizing Stream Morphology For Determining Area) v1.0"", ""Herbaceous Measurements - Percent Cover v1.0"", ""Bulk Streambed Sediment Sampling - Lab v1.0"", ""Calculating the smolt to adult return rate (SAR) v1.0"", ""Measuring Fish Length: Fork length v2.0"", ""Calculations and Expansions v1.0"", ""Estimating Instream Juvenile Salmonid Abundance Using Snorkeling with Binned Counts v2.0"", ""Fish Capture-Snorkel Herding v1.0"", ""Fish Condition 'Relative Weight (Wr)' v1.0"", ""Measuring Large Woody Debris (LWD) v1.0"", ""Measuring Substrate v1.0"", ""Abundance Estimation of Fish Using Multiple Mark and Recapture Data v1.0"", ""Stream Discharge - Velocity-area method & alternates v1.0"", ""Hydrology (water level) - Roegner et al. 2009 v1.0"", ""Cormack-Jolly-Seber (CJS) Model v1.0"", ""Method for Measuring Large Woody Debris (LWD) v1.0"", ""Analysis of Percent Cover Woody Vegetation on Streambanks v1.0"", ""Converting Cubic Feet per Second (CFS) to Acre Feet per day v1.0"", ""Growth Rate for Individual Fish v1.0"", ""Physical Habitat: Substrate Size and Channel Dimensions v1.0"", ""Fish Capture-Seining v1.0""]"
"""Length:  Fish Species""","""Nez Perce Tribe Juvenile Seining Data Collection""","[""Marking, Tagging and Sampling Target Species v1.0"", ""Anesthetizing and Recovering Target Salmonid Species v1.0"", ""Gear Disinfection Procedures v1.0"", ""Beach Seine Deployment and Operation v1.0""]"
"""Length:  Fish Species""","""Parentage Based Tagging for hatchery Chinook salmon and steelhead in the Snake River basin (2010-031-00)""","[""Measuring Fish Length: Fork length v1.0"", ""SNP genotyping on Fluidigm platform v1.0"", ""Genetic Sex Marker for O. mykiss and O. tshawytscha v1.0"", ""Parentage assignments using SNPPIT software v1.0"", ""Obtaining genetic samples from juvenile steelhead and Chinook salmon v1.0"", ""Estimating Genetic Diversity v1.0"", ""Assessing genetic population structure using fixation indices v1.0"", ""Nexttec 96-Well Tray DNA Extraction Kit Protocol v1.0"", ""O. mykiss and O. tshawytscha SNP marker sets for PBT and GSI use in the Columbia River basin v1.0"", ""Tissue sampling for Parentage Based Tagging v1.0""]"
"""Length:  Fish Species""","""Upper Columbia River ESU Steelhead Stock Assessment (2010-034-00)""","[""Measuring Fish Length: Fork length v1.0"", ""Off Ladder Adult Trapping Procedures v1.0"", ""Adult Sampling: Fish Origin Identification v1.0"", ""Adult Sampling: Fish Gender Identification Via Ultrasound Imaging v1.0"", ""PIT tag marking procedures v1.0"", ""Scale Processing for Age v1.0"", ""Obtaining scale samples from adult steelhead and salmon v1.0""]"
"""Length:  Fish Species""","""Relative fitness (2003-039-00)""","[""DNA Extraction v1.0"", ""Adult Sampling: Fish Origin Identification v1.0"", ""Fish wet weight v1.0"", ""PIT tag marking procedures v1.0"", ""Scale Processing for Age v1.0"", ""Estimating relative reproductive success (RRS) v1.0"", ""Remote In-Stream PIT Tag Detection of Spawning Salmonids v1.0"", ""Measuring Fish Length: Fork length v1.0"", ""Redd Morphology: Depth and Velocity v1.0"", ""Obtaining scale samples from adult steelhead and salmon v1.0"", ""Redd Morphology: Relative Substrate Composition v1.0"", ""Spawning Site Characteristics v1.0"", ""Redd Morphology: Dimensions v1.0"", ""Emigration Trapping (using rotary screw traps) v1.0"", ""Adult Sampling: Fish Gender Identification Via Ultrasound Imaging v1.0"", ""Carcass tissue sampling - fin tissue for genetic analysis v1.0"", ""Measuring Fish Length: Post-orbital hypural length v1.0"", ""Off Ladder Adult Trapping Procedures v1.0""]"
"""Length:  Fish Species""","""Evaluating the Status and Trends of Piscivores in the McNary Pool""","[""Stomach lavage for medium to large fish v1.0"", ""PIT tag marking procedures v2.0"", ""Fish wet weight v1.0"", ""Measuring Fish Length: Fork length v2.0"", ""Piscivore Collections v1.0"", ""Abundance Estimation of Fish Using Multiple Mark and Recapture Data v1.0"", ""Piscivore Density and Abundance Estimate v1.0""]"
"""Length:  Fish Species""","""IDFG Select Adult Population Performance Metrics for Wild Steelhead in Idaho""","[""Parentage assignments using SNPPIT software v1.0"", ""Adult Weir Trap Fish Processing v1.0"", ""Calculating Detection Efficiency of Stationary PIT Tag Arrays in Streams v1.0"", ""Determining adult anadromous salmonid gender. v1.0"", ""Length Frequency Distribution of Catch v1.0"", ""Identifying Marks/Tags on Fish v1.0"", ""Assigning individual samples using Individual Assignment (IA) genetic methods v1.0"", ""Adult Sampling: Fish Origin Identification v1.0"", ""PIT-tag based Escapement Analysis using DABOM v1.0"", ""Estimation of age composition at upstream locations using PIT tags v1.0"", ""Adult Weir Operation v1.0"", ""Adult abundance of iteroparous and migratory salmonid populations from weir data v1.0"", ""Operate full duplex instream PIT Tag Interrogation Systems to detected PIT tagged juvenile and adult Steelhead v1.0"", ""Weirs v1.0"", ""Proportion at Age Calculation v1.0"", ""Tissue sampling for Parentage Based Tagging v1.0"", ""O. mykiss and O. tshawytscha SNP marker sets for PBT and GSI use in the Columbia River basin v1.0"", ""Fin tissue sampling for genetic analysis v1.0"", ""Collecting Scales From Adult Salmonids v1.0"", ""Progeny Per Parent Ratio v1.0"", ""Adult Run Timing v1.0"", ""Travel time estimates based on PIT Tag dataset v1.0"", ""Estimate escapement using detections of fish PIT tagged as adults v1.0"", ""Parentage Analysis using Cervus v1.0"", ""Picket Weir Methods v1.0"", ""Scale Processing for Age v1.0"", ""Downloading PIT tag observation data from PTAGIS v1.0"", ""Estimate Steelhead Abundance at Weirs Using Kelts as Recaptures v1.0"", ""Calculating the smolt to adult return rate (SAR) v1.0""]"
"""Length:  Fish Species""","""White Sturgeon Enhancement - Setline Stock Assessment""","[""Identifying Marks/Tags on Fish v1.0"", ""PIT tag marking procedures v1.0"", ""Fish sampling with setlines v1.0"", ""White Sturgeon Catch Processing v1.0"", ""Fin tissue sampling for genetic analysis v1.0"", ""Scute Marking Sturgeon v1.0"", ""Tissue Sampling - spines & fin rays v2.0"", ""Fish wet weight v1.0"", ""Measuring Fish Length: Fork length v2.0""]"
"""Length:  Fish Species""","""YKFP- Monitoring and Evaluation- Domestication Selection Research""","[""Measuring Fish Length: Total length v1.0"", ""Measuring Fish Length: Fork length v2.0"", ""Carcass Count: Site Selection and Sampling Frequency v1.0"", ""Domestication Traits: fertility and reproductive effort v1.0"", ""Adult Run Timing v1.0"", ""Obtaining scale samples from adult steelhead and salmon v1.0"", ""Measuring Fish Length: Post-orbital hypural length v1.0"", ""Carcass Count: Survey v1.0"", ""Emergence Timing and Survival estimate using Emergence Towers v1.0"", ""Estimating Kd values v1.0"", ""Weights: green egg mass v1.0"", ""Measuring Fish Length: Mid-orbital hypural length v1.0"", ""Scale Ageing v1.0""]"
"""Length:  Fish Species""","""LPO Kokanee Population Status Assessment (1994-047-00)""","[""Midwater Trawling Analysis v1.0"", ""Kokanee Processing v1.0"", ""Hydroacoustic survey to assess pelagic fish populations v1.0"", ""Fry Trawling v1.0"", ""Kokanee Biomass, Production, and Mortality by Weight v1.0"", ""LPO Kokanee Otolith Thermal Mark Analysis v1.0"", ""Kokanee Age-specific Survival v1.0"", ""Kokanee Age-Class Analysis v1.0"", ""Scale Ageing v1.0"", ""Mid-water trawl survey for assessing pelagic fish populations v1.0"", ""Fish wet weight v1.0"", ""Hydroacoustics Analysis v1.0"", ""Measuring Fish Length: Total length v1.0""]"
"""Length:  Fish Species""","""Deschutes Bakeoven and Buck Hollow Spawning Surveys (2007-299-00)""","[""Detection and Recovery of Coded Wire Tags (CWTs) in Adult Salmonids v1.0"", ""Fish per redd v1.0"", ""Obtaining scale samples from adult steelhead and salmon v1.0"", ""Redd Count Expansion to Watershed Level Estimate v1.0"", ""Carcass Count: Scale Sampling v1.0"", ""Carcass Count: Tags and markers v1.0"", ""Determining Sex of Adult Steelhead v1.0"", ""Scale Processing for Age v1.0"", ""Redd Count Survey v1.0"", ""Carcass Count: Survey v1.0"", ""Measuring Fish Length: Fork length v2.0""]"
"""Length:  Fish Species""","""Upper Spokane River Redband Trout Assessment (1997-004-00)""","[""Measuring Fish Length: Fork length v2.0"", ""Identifying Marks/Tags on Fish v1.0"", ""PIT Tagging Adult Salmonids in Pelvic Girdle v1.0"", ""Age-length key v1.0"", ""Growth Rate for Individual Fish v1.0"", ""Scale Ageing v1.0"", ""Obtaining scales from juvenile steelhead and Chinook salmon v1.0"", ""Fulton's Fish Condition Factor v1.0"", ""Abundance Estimation of Fish Using Multiple Mark and Recapture Data v1.0"", ""Measuring Fish Length: Total length v1.0"", ""Electrofishing - Fish Processing and Recovery v1.0"", ""Obtaining scale samples from adult steelhead and salmon v1.0"", ""Electrofishing - Drift Boat - Mark v1.0"", ""Floy Tagging Freshwater Fish v1.0"", ""Redband trout scale collection v1.0"", ""Fish wet weight v1.0"", ""PIT tag marking procedures v2.0""]"
"""Length:  Fish Species""","""Estimate Adult Steelhead Abundance Using Weirs in Small Streams Associated with Tucannon & Asotin Populations (2010-028-00)""","[""Water Temperature - Data Logger v1.0"", ""Weirs v1.0"", ""Discharge-Field Measurements v1.0"", ""Redd Count Survey v1.0"", ""Measuring Fish Length: Fork length v2.0"", ""Estimation of Hatchery Strays v1.0"", ""Adult Run Timing v1.0"", ""Carcass Count: Tags and markers v1.0"", ""Estimate Steelhead Abundance at Weirs Using Kelts as Recaptures v1.0"", ""Identifying Marks/Tags on Fish v1.0"", ""Carcass tissue sampling - fin tissue for genetic analysis v1.0"", ""Carcass Count: Mark-Recapture Analysis v1.0"", ""Obtaining scale samples from adult steelhead and salmon v1.0""]"
"""Length:  Fish Species""","""Pacific Lamprey Juvenile Rotary Screw Trap Data Collection""","[""Marking, Tagging and Sampling Target Species v1.0"", ""Rotary Screw Trap Sub-Sampling (Estimating Expected Catch) v1.0"", ""Anesthetizing and Recovering Target Salmonid Species v1.0"", ""Gear Disinfection Procedures v1.0"", ""Rotary Screw Trap Fish Removal and Processing v1.0"", ""Rotary Screw Trap Operation and Maintenance v1.0""]"
"""Length:  Fish Species""","""Lake Roosevelt Fisheries Evaluation Program - Fall Walleye Index Netting (1994-043-00)""","[""Growth Rate Calculation v1.0"", ""Fish wet weight v1.0"", ""Fish Identification and Data Entry in a Large River System v1.0"", ""Catch-Per-Unit-Effort (CPUE) of Stratified Random Samples v1.0"", ""Adult Sex Ratio v1.0"", ""Collecting Sagittal Otoliths for Ageing v1.0"", ""Sagittal Otolith Ageing v1.0"", ""Measuring Fish Length: Total length v1.0"", ""Gill Netting v1.0""]"
"""Length:  Fish Species""","""Nez Perce In-Hatchery Data Collection""","[""Broodstock Collection, Holding and Spawning v1.0"", ""Gear Disinfection Procedures v1.0"", ""Egg Incubation and Early Rearing v1.0"", ""Hatchery Marking, Tagging and Release v1.0""]"
"""Length:  Fish Species""","""Lake Roosevelt Angler Creel Survey (1994-043-00)""","[""Creel Survey- Roving v1.0"", ""Measuring Fish Length: Total length v1.0"", ""Creel Survey - Access Point Method v1.0"", ""Lake Rooseve Recreational Creel Survey Data Analysis v1.0"", ""Identifying Fin Marks On Salmonids v1.0"", ""Fulton's Fish Condition Factor v1.0"", ""Fish wet weight v1.0""]"
"""Length:  Fish Species""","""Spring Chinook Fry Growth and Distribution""","[""Fry Growth v1.0"", ""Discharge-Field Measurements v1.0"", ""Fish Identification and Data Entry in a Large River System v1.0"", ""Electrofishing - Determine Electrofisher Settings v1.0"", ""Weights: sampling fry v1.0"", ""Measuring Fish Length: Fork length v2.0"", ""Calculation of CPUE for electrofishing v1.0"", ""Growth Rate for Individual Fish v1.0"", ""Water Temperature Field Accuracy Checks and Site Visits v1.0"", ""Anesthetizing and Recovering Target Salmonid Species v1.0"", ""Electrofishing - Site Selection v1.0""]"
"""Length:  Macroinvertebrate Species""","""IDFG Snorkel Surveys for Wild Chinook Salmon and Steelhead Parr in the Clearwater and Salmon River Basins.""","[""Estimate Parr Densities From Snorkel Surveys v1.0"", ""Length Frequency Distribution of Catch v1.0"", ""Locating and establishing the start of the survey v1.0"", ""Deployment and Recovery of Water Temperature Data Loggers in Rivers and Streams v1.0"", ""Basic Snorkel Survey Procedures v1.0"", ""Estimating Instream Juvenile Salmonid Abundance Using Snorkeling with Binned Counts v2.0"", ""Measuring Wetted Width (Abridged Version From Characterizing Stream Morphology For Determining Area) v1.0"", ""Estimate detection probability to describe precision of anadromous parr counts from snorkel surveys. v1.0"", ""Fish Capture-Angling v1.0"", ""Marking, Tagging and Sampling Target Species v1.0"", ""Physical Habitat: Substrate Size and Channel Dimensions v1.0"", ""Estimate occupancy to describe spatial structure of anadromous parr from snorkel surveys. v1.0"", ""Electrofishing - Site Selection v1.0"", ""Estimating Fish Total Length Underwater v1.0""]"
"""Length:  Macroinvertebrate Species""","""Snake River reservior invertebrate prey availability for juvenile salmon""","[""Tissue collection for stable isotope analysis v1.0"", ""NWFS_Center_Ocean Salmon Survey Vertical Net Marine Zooplanktkon Sampling v1.0"", ""Macroinvertebrate length frequency v1.0"", ""Macroinvertebrate diet estimated with a Sedgewick-Rafter counting slide v1.0"", ""Macroinvertebrate identification v1.0"", ""Macroinvertebrate densities estimated from beam trawls v1.0"", ""Macroinvertebrate length measurement v1.0"", ""NWFS_Center_Ocean Salmon Survey Bongo Net Zooplankton Analysis v1.0"", ""Stable isotope sample processing v1.0"", ""Beam trawl benthic invertebrates v1.0""]"
"""Length:  Macroinvertebrate Species""","""Upper Columbia Nutrient Supplementation Project, BPA Project 2008-471-00""","[""Water Chemistry - Total Phosphorus v1.0"", ""Stable isotope sample processing v1.0"", ""Fish wet weight v1.0"", ""Count of Aquatic Vertebrate Species (Fish) v1.0"", ""Macroinvertebrate identification v1.0"", ""Measuring Fish Length: Fork length v2.0"", ""Anesthetizing fish using MS-222 v1.0"", ""Multiple pass removal/depletion backpack electrofishing v1.0"", ""Standard Operating Procedures and Minimum Requirements for the Collection of Freshwater Benthic Macroinvertebrate data in Wadeable Streams and Rivers v1.0"", ""PIT tag marking procedures v1.0"", ""Stomach lavage for small to medium fish v1.0"", ""Tissue collection for stable isotope analysis v1.0"", ""Biofilm Collection, Creating Periphyton Aliquots v1.0"", ""Water Chemistry - Nitrate/Nitrite v1.0"", ""Abundance Estimation of Fish Using Multiple Mark and Recapture Data v1.0"", ""Dissolved Oxygen - Data Logger v1.0"", ""Water Chemistry - Dissolved Phosphorus v1.0"", ""Calculating Juvenile Salmonid Density from Electrofishing v1.0"", ""Standard Operating Procedures for Continuous Temperature Monitoring of Fresh Water Rivers and Streams. v1.0"", ""Terrestrial Macroinvertebrate Collection for Identification, Biomass and Isotope analysis - Pan Traps v1.0"", ""Water Chemistry - Ammonia v1.0"", ""Water Chemistry - Total Persulphate Nitrogen v1.0""]"
"""Length:  Reptile Species""","""Upper Mississippi River Long Term Resource Monitoring""","[""Catch-Per-Unit-Effort (CPUE) of Stratified Random Samples v1.0"", ""Fish Weight Measurements for Individual Specimen on Large River Systems v1.0"", ""Large River Monitoring Qualitative Vegetation Density Appraisal v1.0"", ""Locating and establishing the start of the survey v1.0"", ""Mini Fyke Netting for Smaller Fish on a Large River v1.0"", ""Secchi Disk Transparency v1.0"", ""Fyke Nets v1.0"", ""Measuring Fish Length: Fork length v2.0"", ""Turtle Identification and Measurements: Incidental Catch in Large River Systems v1.0"", ""Standard Operating Procedures for Instantaneous Measurements of Temperature in Water v1.0"", ""Large River Monitoring Qualitative Vegetation Coverage Appraisal v1.0"", ""Measuring Fish Length: Standard Length for Fish in Large River Systems v1.0"", ""Large River Slingshot Balloon Trawling for Fish v1.0"", ""Redd Morphology: Depth and Velocity v1.0"", ""Measuring Fish Length: Total length v1.0"", ""Hoop Netting v1.0"", ""Large River Monitoring Qualitative Substrate Appraisal v1.0"", ""Fish Identification and Data Entry in a Large River System v1.0"", ""Subsampling Fish in Large River Systems v1.0"", ""Boat Electrofishing v1.0"", ""Water Quality Measurements Using a Conductivity/DO/Temperature Meter v1.0""]"
"""Length: Plankton Species""","""Limnological Survey the for Dworshak Reservoir Nutrient Restoration Project""","[""Limnological survey- Collecting Picoplankton (Bacteria) v1.0"", ""Vertical profile measurements of photosynthetically active radiation (PAR) v1.0"", ""Analysis of Water Chemistry Data v1.0"", ""Calculation of compensation depth from PAR profiles v1.0"", ""Collection of samples from lentic waters for chemical analyses v1.0"", ""Determination of turbidity by nephelometry v1.0"", ""Vertical Profile Measurements for Temperature, pH, Dissolved Oxygen, and Conductivity v1.0"", ""Secchi Disk Transparency v1.0"", ""Calculation of Daphnia biomass v1.0"", ""Limnological survey- Collecting Chlorophyll v1.0"", ""Limnological survey- Collecting Zooplankton v1.0"", ""Limnological survey- Collecting Phytoplankton v1.0"", ""Primary Productivity Assessment v1.0""]"
"""Length: Plankton Species""","""Water Quality, Limnology, and Zooplankton Monitoring in Lake Roosevelt (1994-043-00)""","[""Limnological survey- Collecting Zooplankton v1.0"", ""Water Chemistry Sampling in Large Reservoirs v1.0"", ""Zooplankton Identification and Enumeration Method v1.0"", ""Physiochemical Profiling for Lakes v1.0"", ""Surface Hydrology of Reservoirs v1.0"", ""Carlson's Trophic State Index for Lakes v1.0"", ""Estimation of Nonpoint Source Loading of Phosphorus v1.0""]"
"""Light Absorption""","""Estimating solar insolation and electrical conductivity for inputs in a salmonid gross primary production model""","[""Solar Input v2.0"", ""Estimating solar insolation along stream networks v1.0"", ""Estimating electrical conductivity along stream networks using a random forest model v1.0""]"
